DIAG_CD,DIAG_STD_CD,DIAG_VERS_TYP_ID,DIAG_DESC,PLACE_HOLDER1,PLACE_HOLDER2,PLACE_HOLDER3
42,4.2,1.0,SHIGELLA BOYDII,"","",""
53,5.3,0.0,FOOD POISONING DUE TO OTHER CLOSTRIDIA,"","",""
8,8.0,-1.0,INTESTINAL INFECTION DUE TO ESCHERICHIA COLI [E. COLI],"","",""
846,8.46,1.0,INTESTINAL INFECTION DUE TO OTHER ANAEROBES,"","",""
101,10.1,-1.0,"TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS, UNSPECIFIED","","",""
1345,13.45,1.0,"TUBERCULOMA OF SPINAL CORD, TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION, BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY","","",""
1355,13.55,1.0,"TUBERCULOUS ABSCESS OF SPINAL CORD, TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION, BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY","","",""
148,14.8,0.0,"OTHER TUBERCULOSIS OF INTESTINES, PERITONEUM AND MESENTERIC GLANDS","","",""
1561,15.61,1.0,"TUBERCULOSIS OF MASTOID, BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE","","",""
169,16.9,-1.0,"GENITOURINARY TUBERCULOSIS, UNSPECIFIED","","",""
175,17.5,-1.0,TUBERCULOSIS OF THYROID GLAND,"","",""
179,17.9,0.0,TUBERCULOSIS OF OTHER SPECIFIED ORGANS,"","",""
1802,18.02,0.0,"ACUTE MILIARY TUBERCULOSIS, BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)","","",""
26,26.0,1.0,RAT-BITE FEVER,"","",""
3843,38.43,1.0,SEPTICEMIA DUE TO PSEUDOMONAS,"","",""
414,41.4,-1.0,ESCHERICHIA COLI [E. COLI] INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE,"","",""
4511,45.11,1.0,"ACUTE POLIOMYELITIS WITH OTHER PARALYSIS, POLIOVIRUS TYPE I","","",""
452,45.2,0.0,ACUTE NONPARALYTIC POLIOMYELITIS,"","",""
5473,54.73,1.0,HERPES SIMPLEX OTITIS EXTERNA,"","",""
